"Patient_Cluster","C5AR1","CSF1R","LILRB2","PILRA","SIGLEC1","CLEC7A","TLR4","P2RX7","C3AR1","CD300E"
"Cluster_1",0.260857668926975,0.345092799040064,0.233663726929368,0.116723870252663,0.142328526686691,0.236004065950302,0.0775811854712228,0.281389537736185,0.265656005431745,0.0595730331861401
"Cluster_2",1.19024310616813,1.4929173968851,1.13607444222967,0.865633418151126,0.348280056164279,1.29895950452871,0.461854204442339,0.355706408227747,0.978538834970953,0.442511206884104
"Cluster_3",1.80956671114038,3.66980578298264,2.33656509262297,1.96470059102747,0.07371956890937,2.26176803134073,1.06712595415385,0.99130530421942,2.3740264894618,0.511766778601578
